"Name","Wert","Spalten-Alias"
"Schlierbach",539,"undefined"
"Altstadt",2.368,"undefined"
"Bergheim",1.944,"undefined"
"Weststadt",3.323,"undefined"
"Suedstadt",1.109,"undefined"
"Rohrbach",3.366,"undefined"
"Kirchheim",3.923,"undefined"
"Pfaffengrund",1.425,"undefined"
"Wieblingen",1.956,"undefined"
"Handschuhsheim",3.366,"undefined"
"Neuenheim",2.871,"undefined"
"Boxberg",848,"undefined"
"Emmertsgrund",1.226,"undefined"
"Ziegelhausen",1.800,"undefined"
"Bahnstadt",1.284,"undefined"

##EW30-45##
